거래처,항목코드,중앙값,최빈값,최소,최대,건수,고유단가수,단가범위,표준단가,표준대비(%)
(사)대한출판문화협회,001001,55000.0,55000.0,55000.0,55000.0,1,1,"55,000(고정)",,
(사)대한출판문화협회,303001,5000.0,5000.0,5000.0,7000.0,3,2,"5,000~7,000",2500.0,100.0
(사)대한출판문화협회,703002,8000.0,8000.0,8000.0,8000.0,3,1,"8,000(고정)",7000.0,14.3
(사)대한출판문화협회,706026,1930.0,1930.0,1930.0,1930.0,1,1,"1,930(고정)",,
(사)대한출판문화협회,MA00186,44100.0,44100.0,44100.0,44100.0,1,1,"44,100(고정)",,
(사)대한출판문화협회,MA00293,34500.0,34500.0,34500.0,34500.0,1,1,"34,500(고정)",,
(사)대한출판문화협회,MA00659,78350.0,78350.0,78350.0,78350.0,1,1,"78,350(고정)",,
(사)대한출판문화협회,MA02049,254520.0,254520.0,254520.0,254520.0,1,1,"254,520(고정)",,
(사)세계교회성장연구원,001002,50000.0,50000.0,50000.0,50000.0,6,1,"50,000(고정)",,
(사)세계교회성장연구원,001006,110000.0,110000.0,30000.0,110000.0,10,2,"30,000~110,000",,
(사)세계교회성장연구원,003001,200.0,200.0,200.0,200.0,1,1,200(고정),,
(사)세계교회성장연구원,005003,50000.0,50000.0,50000.0,50000.0,1,1,"50,000(고정)",,
(사)세계교회성장연구원,303001,3500.0,3500.0,3000.0,3500.0,7,2,"3,000~3,500",2500.0,40.0
(사)세계교회성장연구원,303002,7000.0,7000.0,7000.0,7000.0,6,1,"7,000(고정)",2500.0,180.0
(사)세계교회성장연구원,703002,7000.0,7000.0,7000.0,7000.0,16,1,"7,000(고정)",7000.0,0.0
(사)세계교회성장연구원,706001,200000.0,200000.0,0.6,200000.0,7,2,"0~200,000",,
(사)세계교회성장연구원,706002,50.0,50.0,50.0,50.0,5,1,50(고정),,
(사)세계교회성장연구원,706021,500000.0,500000.0,500000.0,500000.0,1,1,"500,000(고정)",,
(사)세계교회성장연구원,707001,105000.0,60000.0,60000.0,150000.0,2,2,"60,000~150,000",,
(사)세계교회성장연구원,707011,30000.0,30000.0,30000.0,30000.0,3,1,"30,000(고정)",,
(사)한국금융연수원,001002,50000.0,50000.0,50000.0,50000.0,5,1,"50,000(고정)",,
(사)한국금융연수원,001006,65000.0,30000.0,30000.0,100000.0,4,2,"30,000~100,000",,
(사)한국금융연수원,002,50000.0,50000.0,50000.0,50000.0,2,1,"50,000(고정)",,
(사)한국금융연수원,303001,7000.0,7000.0,7000.0,7000.0,7,1,"7,000(고정)",2500.0,180.0
